Id,devicename,batterylife,price,BasemarkX,year,ImageURL,screensize,phoneURL,nfc,headphonejack,dualsim,ir,dxomarkScore,antutu
1,Samsung Galaxy S10 5G,0,1036,0,2019,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s10-5g.jpg,6.7000,https://www.gsmarena.com/samsung_galaxy_s10_5g-9588.php,1,1,1,0,112,371000
2,Samsung Galaxy S10 plus,91,938,45017,2019,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s10-plus-new.jpg,6.4000,https://www.gsmarena.com/samsung_galaxy_s10+-9535.php,1,1,1,0,109,340000
3,Samsung Galaxy S10,79,688,44097,2019,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s10.jpg,6.1000,https://www.gsmarena.com/samsung_galaxy_s10-9536.php,1,1,1,0,0,326000
4,Samsung Galaxy S10e,83,607,44059,2019,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s10e.jpg,5.8000,https://www.gsmarena.com/samsung_galaxy_s10e-9537.php,1,1,1,0,0,0
5,Samsung Galaxy Fold,90,1564,45154,2019,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-fold.jpg,7.3000,https://www.gsmarena.com/samsung_galaxy_fold-9523.php,1,0,0,0,0,379000
6,Samsung Galaxy A2 Core,0,62,0,2019,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a2-core-sm-a260f.jpg,5.0000,https://www.gsmarena.com/samsung_galaxy_a2_core-9636.php,0,1,1,0,0,0
7,Samsung Galaxy M30,0,223,0,2019,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m30-.jpg,6.4000,https://www.gsmarena.com/samsung_galaxy_m30-9505.php,0,1,1,0,0,107000
8,Samsung Galaxy M20,103,196,8434,2019,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m20-m205f.jpg,6.3000,https://www.gsmarena.com/samsung_galaxy_m20-9506.php,0,1,1,0,0,109000
9,Samsung Galaxy M10,89,89,5583,2019,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m10-m105f.jpg,6.2200,https://www.gsmarena.com/samsung_galaxy_m10-9508.php,0,1,1,0,0,46000
10,Samsung Galaxy A80,0,581,0,2019,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a80-.jpg,6.7000,https://www.gsmarena.com/samsung_galaxy_a80-9659.php,0,0,1,0,0,204000
11,Samsung Galaxy A70,103,357,19341,2019,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a70.jpg,6.7000,https://www.gsmarena.com/samsung_galaxy_a70-9646.php,1,1,1,0,0,170000
12,Samsung Galaxy A60,0,241,0,2019,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a60-.jpg,6.3000,https://www.gsmarena.com/samsung_galaxy_a60-9616.php,1,0,1,0,0,175000
13,Samsung Galaxy A50,98,312,19106,2019,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a50-sm-a505f-ds.jpg,6.4000,https://www.gsmarena.com/samsung_galaxy_a50-9554.php,1,1,1,0,0,146000
14,Samsung Galaxy A40,73,223,12098,2019,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a40.jpg,5.9000,https://www.gsmarena.com/samsung_galaxy_a40-9642.php,1,1,1,0,0,109000
15,Samsung Galaxy A30,0,223,0,2019,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a30.jpg,6.4000,https://www.gsmarena.com/samsung_galaxy_a30-9579.php,0,1,1,0,0,107000
16,Samsung Galaxy A20e,0,160,0,2019,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a20e.jpg,5.8000,https://www.gsmarena.com/samsung_galaxy_a20e-9661.php,1,1,1,0,0,88000
17,Samsung Galaxy A20,0,178,0,2019,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a20.jpg,6.4000,https://www.gsmarena.com/samsung_galaxy_a20-9640.php,1,1,1,0,0,88000
18,Samsung Galaxy A10,0,107,0,2019,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a10.jpg,6.2000,https://www.gsmarena.com/samsung_galaxy_a10-9580.php,0,1,1,0,0,88000
19,Samsung Galaxy A8s,0,0,0,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a8s-.jpg,6.4000,https://www.gsmarena.com/samsung_galaxy_a8s-9432.php,1,0,1,0,0,170000
20,Samsung Galaxy A6s,0,241,0,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a6s-.jpg,6.0000,https://www.gsmarena.com/samsung_galaxy_a6s-9352.php,0,1,1,0,0,136000
21,Samsung Galaxy A9 (2018),88,321,20322,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a9-2018.jpg,6.3000,https://www.gsmarena.com/samsung_galaxy_a9_(2018)-9344.php,1,1,1,0,0,0
22,Samsung Galaxy A7 (2018),93,250,15200,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a7-sm-a750f.jpg,6.0000,https://www.gsmarena.com/samsung_galaxy_a7_(2018)-9340.php,1,1,1,0,0,0
23,Samsung Galaxy Note9,97,670,41994,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-note9-r1.jpg,6.4000,https://www.gsmarena.com/samsung_galaxy_note9-9163.php,1,1,1,0,0,0
24,Samsung Galaxy J6 plus,0,214,0,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j6-plus-sm-j610f.jpg,6.0000,https://www.gsmarena.com/samsung_galaxy_j6+-9334.php,1,1,1,0,0,32000
25,Samsung Galaxy J4 Core,0,134,0,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j4-core-sm-g410g.jpg,6.0000,https://www.gsmarena.com/samsung_galaxy_j4_core-9397.php,0,1,1,0,0,32000
26,Samsung Galaxy J4 plus,0,169,0,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j4-plus-sm-j415f.jpg,6.0000,https://www.gsmarena.com/samsung_galaxy_j4+-9335.php,1,1,1,0,0,35000
27,Samsung Galaxy J2 Core,0,89,0,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j2-core.jpg,5.0000,https://www.gsmarena.com/samsung_galaxy_j2_core-9255.php,0,1,1,0,0,37000
28,Samsung Galaxy On6,0,134,0,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-on6-2018.jpg,5.6000,https://www.gsmarena.com/samsung_galaxy_on6-9260.php,0,1,1,0,0,46000
29,Samsung Galaxy J7 (2018),0,178,0,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j7-2018.jpg,5.5000,https://www.gsmarena.com/samsung_galaxy_j7_(2018)-9234.php,1,1,0,0,0,0
30,Samsung Galaxy J3 (2018),0,134,0,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j3-2018.jpg,5.0000,https://www.gsmarena.com/samsung_galaxy_j3_(2018)-8928.php,0,1,1,0,0,0
31,Samsung Galaxy A8 Star (A9 Star),0,312,0,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a8-a9-star.jpg,6.3000,https://www.gsmarena.com/samsung_galaxy_a8_star_(a9_star)-9220.php,1,1,1,0,0,0
32,Samsung Galaxy S Light Luxury,0,357,0,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s-light-luxury.jpg,5.8000,https://www.gsmarena.com/samsung_galaxy_s_light_luxury-9202.php,1,1,1,0,0,0
33,Samsung Galaxy J8,0,223,0,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j8-j800.jpg,6.0000,https://www.gsmarena.com/samsung_galaxy_j8-9205.php,0,1,1,0,0,57000
34,Samsung Galaxy J6,0,160,0,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j6-j600.jpg,5.6000,https://www.gsmarena.com/samsung_galaxy_j6-9203.php,0,1,1,0,0,0
35,Samsung Galaxy J4,0,125,0,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j4-j400.jpg,5.5000,https://www.gsmarena.com/samsung_galaxy_j4-9204.php,0,1,1,0,0,0
36,Samsung Galaxy A6 plus (2018),106,250,9835,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a6-plus-2018-.jpg,6.0000,https://www.gsmarena.com/samsung_galaxy_a6+_(2018)-9156.php,1,1,1,0,0,0
37,Samsung Galaxy A6 (2018),83,178,5639,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a6-2018-.jpg,5.6000,https://www.gsmarena.com/samsung_galaxy_a6_(2018)-9155.php,1,1,1,0,0,0
38,Samsung Galaxy J7 Duo,0,214,0,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j7-duo-sm-j720f.jpg,5.5000,https://www.gsmarena.com/samsung_galaxy_j7_duo-9153.php,0,1,1,0,0,0
39,Samsung Galaxy J7 Prime 2,0,151,0,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j7-prime2.jpg,5.5000,https://www.gsmarena.com/samsung_galaxy_j7_prime_2-9135.php,0,1,1,0,0,46000
40,Samsung Galaxy S9 plus,86,554,42134,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s9-plus-blue.jpg,6.2000,https://www.gsmarena.com/samsung_galaxy_s9+-8967.php,1,1,1,0,99,262000
41,Samsung Galaxy S9,78,438,42645,2018,https://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s9-.jpg,5.8000,https://www.gsmarena.com/samsung_galaxy_s9-8966.php,1,1,1,0,0,261000
